發生時間,發生地點,死亡受傷人數,車種,經度,緯度
109年01月05日 03時02分00秒,屏東縣枋山鄉台1線 457公里500.0公尺處北側,死亡2;受傷0,自用-小客車;乘客-人,120.677592,22.222674
109年01月05日 11時44分00秒,臺中市北屯區舊社里松竹路一段前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.707586,24.182433
109年01月05日 12時51分00秒,臺中市北屯區同榮里環中路一段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.677701,24.200796
109年01月05日 13時15分00秒,臺東縣長濱鄉台11線 94公里800.0公尺處北側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.41785,23.25106
109年01月05日 14時26分00秒,南投縣名間鄉員集路前0.0公尺,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.691822,23.831218
109年01月05日 19時48分00秒,桃園市平鎮區國道1號 65公里100.0公尺處北側向中線,死亡1;受傷4,自用-小客車;計程車-小客車;乘客-人;乘客-人;乘客-人,121.196227,24.950325
109年01月05日 23時58分00秒,臺南市永康區東橋里東橋五路口 / 臺南市永康區東橋里東橋十街口,死亡1;受傷0,自用-小客車;普通重型-機車;乘客-人,120.234586,23.023211
109年01月06日 04時42分35秒,臺南市安平區安北路口 / 臺南市安平區古堡街口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車;乘客-人,120.161017,23.002872
109年01月06日 08時50分00秒,高雄市旗津區旗津三路 / 高雄市旗津區安樂巷,死亡1;受傷0,普通重型-機車;自用-小客車,120.2691,22.60898
109年01月06日 11時25分00秒,臺北市中正區中華路1段 / 臺北市中正區漢口街1段,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.509371,25.04522
109年01月06日 17時00分00秒,新竹市香山區竹香北路221040桿,死亡1;受傷0,普通重型-機車,120.937206,24.800548
109年01月06日 19時18分00秒,臺南市新化區全興里竹子腳226之1號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.295289,23.026142
109年01月06日 19時18分00秒,新北市新店區北新路1段 / 新北市新店區力行路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.540362,24.964583
109年01月07日 01時24分00秒,高雄市大寮區188縣道 / 高雄市大寮區光明路2段,死亡1;受傷1,普通重型-機車;自用-小客車;自用-小客車;普通重型-機車,120.420023,22.588886
109年01月07日 04時05分00秒,高雄市岡山區岡山南路 / 高雄市岡山區阿公店路2段,死亡1;受傷1,自用-小客車;普通重型-機車,120.297178,22.7845
109年01月07日 17時40分00秒,高雄市美濃區中山路1段 / 高雄市美濃區泰安路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.5,22.88656
109年01月08日 01時48分00秒,屏東縣枋寮鄉台1線 431公里400.0公尺處,死亡1;受傷0,普通重型-機車;營業用-全聯結車,120.590574,22.397563
109年01月08日 07時17分00秒,南投縣南投市南崗一路口 / 南投縣南投市大庄路口,死亡1;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.684359,23.900542
109年01月08日 07時30分00秒,臺中市中區公園里自由路二段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.6829,24.140782
109年01月08日 07時43分00秒,彰化縣芳苑鄉路平村上林路路上段前0.0公尺,死亡1;受傷0,普通輕型-機車;普通重型-機車,120.352081,23.899664
109年01月08日 12時22分45秒,苗栗縣後龍鎮埔頂里高鐵六路487巷8號旁,死亡1;受傷0,普通重型-機車,120.824485,24.621105
109年01月08日 12時59分00秒,嘉義縣朴子市永和里台82線橋下便道與161縣道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.229361,23.453212
109年01月08日 14時30分00秒,嘉義縣竹崎鄉和平村台3線與166線路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.543812,23.508812
109年01月08日 19時23分00秒,臺中市霧峰區本堂里中正路760號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.698113,24.059871
109年01月08日 22時43分00秒,高雄市楠梓區藍田路 / 高雄市楠梓區大學二十三街,死亡1;受傷1,自用-小客車;腳踏自行車-慢車,120.281427,22.72764
109年01月09日 06時09分00秒,彰化縣芬園鄉竹林村彰南路4段 / 彰化縣芬園鄉竹林村太平路,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.626786,24.019339
109年01月09日 08時23分00秒,彰化縣溪湖鎮西溪里員鹿路2段 / 彰化縣溪湖鎮西溪里忠工路,死亡1;受傷0,營業用-半聯結車;行人-人,120.484014,23.95716
109年01月09日 08時32分00秒,彰化縣溪州鄉大庄村新生巷前0.0公尺,死亡1;受傷5,自用-小客車;租賃車-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.56537,23.829803
109年01月09日 19時55分46秒,臺南市東區崇興路上(近崇聖路二段),死亡1;受傷0,普通重型-機車;行人-人,120.220595,22.968235
109年01月09日 21時53分00秒,彰化縣北斗鎮大新里民生路7號前0.0公尺前,死亡1;受傷1,普通重型-機車;乘客-人,120.559021,23.850713
109年01月10日 08時37分00秒,桃園市桃園區萬壽路3段與山鶯路口附近(M109010521)武陵所,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,121.322367,24.991878
109年01月10日 10時44分00秒,高雄市旗山區旗屏二路 / 高雄市旗山區高92鄉道,死亡1;受傷0,普通重型-機車;自用-小客車,120.5033,22.84519
109年01月10日 11時05分00秒,嘉義縣水上鄉寬士村24鄰崎子頭167號前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.430735,23.451141
109年01月10日 11時39分00秒,屏東縣長治鄉中興路578號長治國中前,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.544243,22.693538
109年01月10日 12時03分00秒,屏東縣萬巒鄉新置村新榮路20號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.621794,22.539572
109年01月10日 15時23分00秒,臺南市七股區台17線 159公里100.0公尺處南側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.132672,23.128796
109年01月10日 16時30分00秒,臺南市新營區太北里太子路北側 / 臺南市新營區太東街口,死亡1;受傷1,普通重型-機車;租賃車-小客車;乘客-人,120.279161,23.294707
109年01月10日 19時32分30秒,金門縣金城鎮浯江北堤路42號前,死亡1;受傷0,行人-人;計程車-小客車,118.319678,24.429625
109年01月10日 20時43分00秒,高雄市岡山區本洲路401號前0.0公尺前,死亡1;受傷0,計程車-小客車;腳踏自行車-慢車,120.255818,22.808156
109年01月11日 00時37分00秒,屏東縣新園鄉港崗路78號,死亡1;受傷1,普通重型-機車;乘客-人,120.452016,22.521075
109年01月11日 01時36分00秒,新北市鶯歌區堤外道路前0.0公尺,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,121.342726,24.961497
109年01月11日 07時08分00秒,臺中市西區公館里三民西路53號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車,120.666483,24.131118
109年01月11日 10時04分00秒,桃園市新屋區高鐵南路口 / 桃園市新屋區梅高路口,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;乘客-人,121.13919,24.950627
109年01月11日 10時25分00秒,屏東縣九如鄉昌榮路慈玄宮前,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用),120.499603,22.762802
109年01月11日 19時21分00秒,嘉義縣東石鄉掌潭村台61線266公里500公尺處南向車道。,死亡1;受傷0,營業用-全聯結車;自用-小客車;自用-小客車;自用-小客車,120.161913,23.420872
109年01月11日 20時51分00秒,新北市土城區金城路3段228號前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-大貨車;乘客-人;乘客-人,121.472857,24.990357
109年01月12日 19時32分00秒,雲林縣莿桐鄉義和村三和74之5號旁產業道路,死亡1;受傷0,普通重型-機車,120.487838,23.777501
109年01月13日 00時15分17秒,宜蘭縣礁溪鄉中山路2段133號前0.0公尺附近,死亡1;受傷0,自用-小客車;行人-人,121.773219,24.826558
109年01月13日 10時24分00秒,嘉義縣鹿草鄉光潭村下潭362之1號北側10公尺處路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.289288,23.37863
109年01月13日 11時40分00秒,彰化縣溪州鄉尾厝村溪下路4段332號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.50794,23.847865
109年01月13日 13時44分00秒,嘉義縣番路鄉觸口村台18線31公里400公尺處,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.580725,23.446848
109年01月13日 17時05分00秒,臺中市北屯區舊社里旱溪西路三段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.709459,24.174149
109年01月13日 17時47分13秒,雲林縣二崙鄉復興村台19線與南昌路口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.362461,23.77391
109年01月13日 18時10分37秒,桃園市中壢區中正路2段43號前0.0公尺北側,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,121.197179,24.974831
109年01月13日 23時00分00秒,新北市新店區中正路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.533421,24.992131
109年01月13日 23時15分00秒,新北市土城區擺接堡路前0.0公尺,死亡1;受傷0,普通重型-機車,121.426018,24.968611
109年01月14日 02時20分03秒,南投縣信義鄉台16線 29公里西側向路肩,死亡1;受傷1,自用-小客車;乘客-人,120.93979,23.792636
109年01月14日 06時48分00秒,桃園市龜山區東萬壽路18.5K處,死亡1;受傷0,普通重型-機車,121.370182,25.009348
109年01月14日 07時17分00秒,屏東縣里港鄉舊鐵道路、屏15線,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車,120.50263,22.773861
109年01月14日 13時10分00秒,屏東縣滿州鄉縣200線 12公里西側,死亡1;受傷0,普通重型-機車,120.82641,22.066582
109年01月14日 14時50分00秒,臺南市安定區嘉同里市道178線六塊寮18-6號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-大貨車;自用-大貨車;自用-大貨車;乘客-人,120.221618,23.081927
109年01月14日 17時53分50秒,臺南市新市區環西路一段近南科南路口。,死亡1;受傷0,自用-小客車;自用-小客車,120.281982,23.090604
109年01月14日 18時01分39秒,新竹縣關西鎮大德街190號前,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,121.183234,24.787641
109年01月15日 00時15分00秒,高雄市路竹區中山南路 / 高雄市路竹區民主路,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.267464,22.822911
109年01月15日 00時48分00秒,高雄市橋頭區芋寮路317號前0.0公尺,死亡1;受傷0,普通重型-機車,120.282028,22.761395
109年01月15日 07時11分00秒,雲林縣崙背鄉羅厝村156縣道東興40-1號,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.368451,23.756927
109年01月15日 09時05分00秒,臺南市安定區海寮里區道南132線海寮124-1號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.2101,23.096681
109年01月15日 15時30分00秒,臺南市南區明興路前0.0公尺西側,死亡1;受傷0,普通重型-機車,120.186132,22.955838
109年01月15日 16時35分59秒,臺南市仁德區仁義里中山路口 / 臺南市仁德區仁義里中山路口,死亡1;受傷0,普通重型-機車,120.268873,22.969587
109年01月15日 18時45分00秒,南投縣名間鄉庄仔巷5-3號前,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.695962,23.836941
109年01月16日 06時45分00秒,臺南市仁德區太子里太子路附近 / 臺南市仁德區太子里土庫路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.260442,22.991141
109年01月16日 09時48分00秒,桃園市大園區三石里7鄰63-8號前產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,121.242697,25.071579
109年01月16日 14時15分12秒,臺南市永康區永中街81號附近,死亡1;受傷0,營業用-大貨車;行人-人,120.258123,23.025031
109年01月16日 17時39分00秒,桃園市新屋區望間里望間路357巷路燈桿(0409279)旁,死亡1;受傷0,普通重型-機車,121.060668,24.938223
109年01月16日 18時38分00秒,新北市鶯歌區堤外道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.342746,24.961503
109年01月16日 19時21分00秒,臺中市西屯區惠來里惠來路前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人,120.644295,24.166462
109年01月16日 20時57分00秒,彰化縣芬園鄉縣庄村彰南路2段 / 彰化縣芬園鄉縣庄村縣芬路,死亡1;受傷0,農耕用車(或機械)-其他車,120.634478,23.992982
109年01月16日 21時26分36秒,桃園市觀音區大觀路2段139號前0.0公尺北側,死亡1;受傷0,行人-人;自用-小客車,121.141905,25.04649
109年01月16日 23時36分00秒,屏東縣屏東市中正路西側 / 屏東縣屏東市公裕街北側,死亡1;受傷1,自用-大貨車;行人-人;普通重型-機車;普通重型-機車,120.498534,22.688915
109年01月17日 00時39分00秒,雲林縣虎尾鎮墾地里墾地3-27號前,死亡1;受傷0,自用-小客車,120.404245,23.726492
109年01月17日 06時15分00秒,雲林縣莿桐鄉六合村東興路64號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.568867,23.767712
109年01月17日 08時38分00秒,雲林縣虎尾鎮林森路2段口 / 雲林縣虎尾鎮吉安街口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.423694,23.699277
109年01月17日 09時00分00秒,臺北市中正區水源路1-9號前0.0公尺,死亡1;受傷0,普通重型-機車,121.527472,25.013183
109年01月17日 11時45分00秒,新北市深坑區北深路1段 / 新北市深坑區深南路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.622037,25.004816
109年01月17日 12時10分00秒,新北市土城區復興街 / 新北市土城區勝利街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.42853,24.969319
109年01月17日 15時31分00秒,臺中市豐原區南陽里南陽路59巷25-6號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.73097,24.23753
109年01月17日 17時00分08秒,南投縣草屯鎮新豐里中正路與中正路1178巷口,死亡1;受傷1,行人-人;普通重型-機車,120.688073,23.991751
109年01月17日 20時53分00秒,雲林縣虎尾鎮埒內里葉厝15電桿旁路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.447399,23.731014
109年01月17日 22時00分00秒,臺南市柳營區士林里仁愛路071號路燈旁,死亡1;受傷0,自用-小客車,120.30307,23.280175
109年01月18日 08時08分07秒,臺南市學甲區新達里華宗路448號前,死亡1;受傷0,營業用-大貨車;行人-人,120.182708,23.234414
109年01月18日 11時38分00秒,彰化縣伸港鄉全興村中興路3段308號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.49318,24.170913
109年01月18日 15時34分00秒,高雄市大樹區三和路三和橋處號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.433113,22.723888
109年01月18日 16時45分42秒,臺南市善化區國道3號 347公里100.0公尺處南側向中線,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.334184,23.137403
109年01月18日 17時00分00秒,新北市三重區仁華街 / 新北市三重區仁華街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車,121.484853,25.082933
109年01月18日 19時31分00秒,嘉義市西區湖內里民生南路933附1號前0.0公尺,死亡1;受傷1,電動自行車-慢車;普通重型-機車,120.435069,23.45473
109年01月18日 21時14分42秒,宜蘭縣三星鄉上將路五段口 / 宜蘭縣三星鄉廣富路口,死亡1;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,121.675614,24.676789
109年01月19日 09時23分54秒,屏東縣南州鄉萬華路段,死亡1;受傷0,普通重型-機車,120.504788,22.462323
109年01月19日 09時56分00秒,新北市蘆洲區永樂街 / 新北市蘆洲區環堤大道路,死亡1;受傷0,自用-小客車;自用-小客車;行人-人,121.45654,25.09052
109年01月19日 18時40分00秒,高雄市大樹區三和路三和橋處號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.4334,22.72376
109年01月19日 19時03分16秒,苗栗縣大湖鄉苗62線2.4公里處西向,死亡1;受傷1,大型重型1(550C.C.以上)-機車;乘客-人,120.892927,24.443518
109年01月19日 23時58分26秒,臺南市東區裕農路口 / 臺南市東區裕農三街口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.239389,22.988985
109年01月20日 07時55分00秒,嘉義縣中埔鄉同仁村同仁32-1號(台3線292公里300公尺處),死亡1;受傷0,普通重型-機車;自用-小客車,120.51151,23.403914
109年01月20日 11時07分05秒,新北市鶯歌區國道3號 52公里900.0公尺處南側向外側,死亡1;受傷1,營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小客車;租賃車-小客車;乘客-人;乘客-人,121.334524,24.938709
109年01月20日 16時50分06秒,宜蘭縣南澳鄉金岳橋南端與宜55線路口,死亡1;受傷0,普通重型-機車,121.779511,24.467098
109年01月21日 00時14分00秒,金門縣金沙鎮陽沙路3144燈桿路段,死亡1;受傷0,自用-小客車,118.431543,24.480513
109年01月21日 01時35分00秒,新北市林口區臺61線道路前0.0公尺,死亡1;受傷1,營業用-曳引車;營業用-曳引車,121.367766,25.135696
109年01月21日 02時26分46秒,新竹縣新豐鄉松柏林路坑子口105-20號前0.0公尺,死亡1;受傷0,普通重型-機車,120.979068,24.882118
109年01月21日 06時25分18秒,新竹市北區中央路口 / 新竹市北區中正路口,死亡1;受傷0,公營客運-大客車;行人-人,120.969152,24.805852
109年01月21日 06時45分00秒,高雄市三民區九如三路 / 高雄市三民區中峰街,死亡2;受傷0,自用-小客車;乘客-人,120.289182,22.642825
109年01月21日 15時10分07秒,臺南市歸仁區武東里台39慢車道往南陸橋與歸仁二路,死亡1;受傷2,普通重型-機車;乘客-人;乘客-人,120.282635,22.931674
109年01月21日 19時05分50秒,新竹縣關西鎮國道3號 76公里500.0公尺處北側向輔助,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車,121.195227,24.800152
109年01月22日 05時27分46秒,臺南市永康區永康里中山路南側 / 臺南市永康區永康里中山南路東側,死亡1;受傷0,行人-人;自用-小客車,120.257309,23.025988
109年01月22日 09時00分00秒,臺南市學甲區三慶里南13線紅茄高幹46號電線桿旁路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.199765,23.277166
109年01月22日 11時52分00秒,桃園市觀音區大觀路1段口 / 桃園市觀音區大觀路1段,死亡1;受傷0,普通重型-機車;租賃車-小客車;自用-小客車,121.154752,25.053188
109年01月22日 14時25分00秒,雲林縣四湖鄉溪尾村產業道路(侯天宮往東100公尺處),死亡1;受傷0,普通重型-機車,120.193402,23.657818
109年01月22日 19時48分50秒,臺東縣太麻里鄉台9線 385公里800.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-大貨車,121.010849,22.622029
109年01月22日 20時47分00秒,屏東縣萬巒鄉萬金村營區路一巷往馬仕部落路段,死亡1;受傷0,普通重型-機車,120.621545,22.610855
109年01月23日 07時25分00秒,臺南市安平區世平路東側 / 臺南市安平區世平一街南側,死亡1;受傷2,普通重型-機車;民營公車-大客車;乘客-人,120.150653,22.995121
109年01月23日 07時40分09秒,屏東縣瑪家鄉三和一路中14路,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.637879,22.690358
109年01月23日 12時07分46秒,花蓮縣瑞穗鄉中山路2段附近 / 花蓮縣瑞穗鄉瑞達路1段附近,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.392149,23.49353
109年01月23日 13時13分31秒,雲林縣二崙鄉楊賢村路燈054號旁水溝,死亡1;受傷0,普通重型-機車,120.40338,23.817935
109年01月23日 15時54分00秒,臺中市霧峰區北勢里北岸路246號前0.0公尺,死亡1;受傷0,普通重型-機車,120.65415,24.038673
109年01月23日 18時32分51秒,臺南市官田區二鎮里二鎮4之6號前,死亡1;受傷0,自用-小客車;行人-人,120.327994,23.213424
109年01月23日 21時46分00秒,臺中市北屯區廍子里廍子路321號前0.0公尺,死亡1;受傷0,普通重型-機車,120.733205,24.169225
109年01月24日 04時23分00秒,高雄市苓雅區三多四路 / 高雄市苓雅區自強三路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.300289,22.612522
109年01月24日 10時00分00秒,臺東縣蘭嶼鄉東80 8公里500.0公尺處,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.559025,22.079766
109年01月24日 18時54分00秒,臺南市永康區中山北路701號附近(永康高幹100號),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.275565,23.030466
109年01月24日 20時06分00秒,高雄市大寮區鳳屏二路高屏大橋號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車;租賃車-小客車,120.3957,22.63511
109年01月24日 20時42分00秒,新竹市北區湳雅街口 / 新竹市北區金竹路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.975391,24.821754
109年01月24日 23時40分00秒,屏東縣恆春鎮南灣路段,死亡1;受傷0,普通重型-機車,120.762249,21.959358
109年01月25日 05時22分12秒,屏東縣屏東市台1線 392公里100.0公尺處向外側,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小客車,120.440212,22.648391
109年01月25日 10時52分00秒,高雄市左營區左營大路2-59號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.30152,22.62716
109年01月25日 12時40分00秒,嘉義縣中埔鄉中崙村台3線300公里800公尺處附近,死亡1;受傷0,普通重型-機車;自用-小客車,120.56306,23.373005
109年01月25日 13時35分00秒,高雄市旗山區旗甲路3段旗林179電桿號前0.0公尺前,死亡1;受傷1,普通重型-機車;乘客-人,120.5028,22.93095
109年01月25日 13時45分00秒,臺南市安定區安定里安定54-9號,死亡1;受傷0,普通重型-機車;自用-小客車,120.238215,23.120267
109年01月25日 14時40分00秒,屏東縣南州鄉七塊路4號,死亡1;受傷0,普通重型-機車,120.503473,22.478369
109年01月26日 02時06分00秒,桃園市龍潭區聖亭路260號前0.0公尺,死亡1;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.204226,24.870953
109年01月26日 11時09分00秒,雲林縣虎尾鎮大屯路15-19號,死亡1;受傷1,自用-小客車;自用-小客車;乘客-人,120.396674,23.704715
109年01月26日 15時35分00秒,花蓮縣吉安鄉南濱路1段口 / 花蓮縣吉安鄉海岸路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.59173,23.927031
109年01月26日 20時29分15秒,南投縣草屯鎮敦和里成功路口 / 南投縣草屯鎮敦和路,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人,120.680989,23.980695
109年01月26日 21時43分00秒,彰化縣埔鹽鄉太平村成功路 / 彰化縣埔鹽鄉太平村番金路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.5445,24.0775
109年01月27日 03時23分00秒,臺中市北屯區大坑里東山路二段158號前0.0公尺,死亡1;受傷0,普通重型-機車,120.769285,24.197675
109年01月27日 22時03分39秒,桃園市中壢區中原路東側 / 桃園市中壢區博愛三路,死亡1;受傷1,行人-人;普通重型-機車;自用-小客車,121.218714,24.954447
109年01月27日 23時42分00秒,嘉義市西區福民里新民路 / 嘉義市西區福民里重慶路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.440306,23.465787
109年01月28日 02時47分00秒,臺中市西屯區福林里西屯路三段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車;普通重型-機車,120.616904,24.188609
109年01月28日 16時08分00秒,嘉義縣番路鄉觸口村觸口57號前(台18線33公里800公尺處),死亡1;受傷1,自用-小客車;行人-人;自用-小貨車(含客、貨兩用),120.603066,23.438966
109年01月28日 19時55分00秒,臺中市豐原區東湳里國豐路二段前0.0公尺,死亡1;受傷6,自用-小客車;自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.706375,24.246761
109年01月29日 10時22分00秒,臺南市永康區中正路299號,死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車,120.24516,23.034033
